date,price,trend_value,residual,z_score,raw_score,smoothed_score,risk_score
2025-01-25,256.41,120.47845887257374,0.7553067534385685,1.304265766631456,87.61426749544937,87.55308313856837,87.55308313856837
2025-01-26,240.5,120.69946004742899,0.6894164349616236,1.2333017285814774,86.41215367550718,87.26785077280307,87.26785077280307
2025-01-27,234.89,120.91607781913048,0.6640205862298778,1.2044452760028426,85.89586791173798,86.9248550575368,86.9248550575368
2025-01-28,227.06,121.12639215227782,0.6283797360742494,1.164459268400127,85.15346889527429,86.48200851697118,86.48200851697118
2025-01-29,228.16,121.33756326704794,0.6314706967739143,1.1660166403047456,85.18297787783774,86.15725085718782,86.15725085718782
2025-01-30,238.31,121.55677123642121,0.6731909405086878,1.2097673450948132,85.9923052843985,86.1160144639905,86.1160144639905
2025-01-31,231.77,121.7707869687338,0.6436050183691764,1.1772210619292613,85.39385226556792,85.93547391438486,85.93547391438486
2025-02-01,213.03,121.96909415706226,0.5576653148029109,1.084668793173307,83.57586921247312,85.34557273890692,85.34557273890692
2025-02-02,203.51,122.15883512693772,0.5103930184936498,1.0329391083021011,82.48283079128676,84.62988725200188,84.62988725200188
2025-02-03,216.28,122.35983846274496,0.56960766541222,1.0941280579704562,83.76970796287522,84.41484242972021,84.41484242972021
2025-02-04,206.64,122.55228582285504,0.522440386822133,1.0416730484926668,82.67131654512646,83.97896095857178,83.97896095857178
2025-02-05,196.12,122.73491578663253,0.46869984330807757,0.9822661568816251,81.35735033269613,83.32355830210287,83.32355830210287
2025-02-06,189.54,122.91109228138178,0.43313881701564494,0.9419641499905569,80.42302248070531,82.59842434675348,82.59842434675348
2025-02-07,191.99,123.08957932752344,0.44453090982245236,0.9507455926161801,80.62957952237709,82.10621314065938,82.10621314065938
2025-02-08,199.32,123.27498627636344,0.48049405262840317,0.987229979307087,81.47001743534926,81.94716421433185,81.94716421433185
2025-02-09,200.47,123.46139117682421,0.4847361244748196,0.9880438705422797,81.48844057201639,81.83248330375298,81.83248330375298
2025-02-10,200.47,123.64771826856538,0.4832280689646691,0.981179965850315,81.33262604730577,81.70751898964117,81.70751898964117
2025-02-11,197.96,123.83160505754527,0.4691423711580338,0.9642789779252486,80.94466204894037,81.51680475446597,81.51680475446597
2025-02-12,196.78,124.01428871576157,0.4616895628925084,0.9553842281619347,80.73801930178782,81.32210839129642,81.32210839129642
2025-02-13,194.25,124.19445945294429,0.4472974306231041,0.9392959561564158,80.35993209031679,81.08156431605153,81.08156431605153
2025-02-14,199.39,124.37945204414622,0.4719257156508698,0.9608942269160125,80.8662279742834,81.02773023060949,81.02773023060949
2025-02-15,194.48,124.55967451031053,0.4455444156012218,0.9298129093959877,80.13445940598285,80.80441252445283,80.80441252445283
2025-02-16,188.27,124.73370240827857,0.41169601865721095,0.891849349063014,79.21236420974891,80.40640044577685,80.40640044577685
2025-02-17,177.53,124.89657421425115,0.35165362019190916,0.8091571494540318,77.09592748579014,79.57878220578017,79.57878220578017
2025-02-18,169.32,125.05041920735829,0.30307340601677435,0.7387423822957062,75.17772559715792,78.47851805362461,78.47851805362461
2025-02-19,168.93,125.2037182662266,0.2995422710976001,0.731818262217182,74.98340454210326,77.60473967574427,77.60473967574427
2025-02-20,176.0,125.3646405341915,0.3392573800128593,0.7696965003328173,76.03400548658328,77.21205612845402,77.21205612845402
