date,price,trend_value,deviation,min_dev,max_dev,raw_score,smoothed_score,risk_score
2021-12-17,46131.2,30835.800264152786,0.40281314945478996,-2.0506290172506336,2.2523291420867873,57.017569677768144,58.00041673205128,58.00041673205128
2021-12-18,46834.48,30882.530639182613,0.4164290112421991,-2.0506290172506336,2.2523291420867873,57.33399994000211,57.833812534038984,57.833812534038984
2021-12-19,46681.23,30929.22811037331,0.41164052631770964,-2.0506290172506336,2.2523291420867873,57.22271638233845,57.68103849611384,57.68103849611384
2021-12-20,46914.16,30976.0560379057,0.41510502869293475,-2.0506290172506336,2.2523291420867873,57.303230815594254,57.586586575983944,57.586586575983944
2021-12-21,48889.88,31023.734617325874,0.45481787774305005,-2.0506290172506336,2.2523291420867873,58.226150527558886,57.746477563877676,57.746477563877676
2021-12-22,48588.16,31071.324051252966,0.44709454222670963,-2.0506290172506336,2.2523291420867873,58.046661552059994,57.821523560923254,57.821523560923254
2021-12-23,50838.81,31119.847949595514,0.4908142259211772,-2.0506290172506336,2.2523291420867873,59.06269940498673,58.131817521939126,58.131817521939126
2021-12-24,50820.0,31168.400126242483,0.4888852127883432,-2.0506290172506336,2.2523291420867873,59.017869474938536,58.35333051018898,58.35333051018898
2021-12-25,50399.66,31216.82222774469,0.47902730554326567,-2.0506290172506336,2.2523291420867873,58.788773423337716,58.462191238476166,58.462191238476166
2021-12-26,50775.49,31265.427899070794,0.48490081071190083,-2.0506290172506336,2.2523291420867873,58.925272662957084,58.57796159459639,58.57796159459639
2021-12-27,50701.44,31314.039886104292,0.4818877569254383,-2.0506290172506336,2.2523291420867873,58.855249816466596,58.64728365006394,58.64728365006394
2021-12-28,47543.74,31361.39961913673,0.41607230423230845,-2.0506290172506336,2.2523291420867873,57.32571013106876,58.31689027031514,58.31689027031514
2021-12-29,46464.66,31408.331435227487,0.3916188335950057,-2.0506290172506336,2.2523291420867873,56.75741572215757,57.92702163327575,57.92702163327575
2021-12-30,47120.87,31455.576043783534,0.4041397365499808,-2.0506290172506336,2.2523291420867873,57.0483993313708,57.70736605779951,57.70736605779951
2021-12-31,46216.93,31502.463252492133,0.3832804399116032,-2.0506290172506336,2.2523291420867873,56.56363290172024,57.421432768779695,57.421432768779695
2022-01-01,47722.65,31550.026570942442,0.4138316967873923,-2.0506290172506336,2.2523291420867873,57.27363880334614,57.3844842774213,57.3844842774213
2022-01-02,47286.18,31597.43718875711,0.403142059533506,-2.0506290172506336,2.2523291420867873,57.025213490850604,57.294666580778625,57.294666580778625
2022-01-03,46446.1,31644.5181709748,0.3837275684461652,-2.0506290172506336,2.2523291420867873,56.57402409117653,57.1145059583781,57.1145059583781
2022-01-04,45832.01,31691.361455406066,0.36893862084177265,-2.0506290172506336,2.2523291420867873,56.23033151837517,56.89346234837737,56.89346234837737
2022-01-05,43451.13,31737.15653383952,0.31414873339796934,-2.0506290172506336,2.2523291420867873,54.95702405372068,56.4093527747132,56.4093527747132
2022-01-06,43082.31,31782.80712443018,0.30418698490627705,-2.0506290172506336,2.2523291420867873,54.72551474959055,55.98839326843254,55.98839326843254
2022-01-07,41566.48,31827.75944935083,0.26695522557433193,-2.0506290172506336,2.2523291420867873,53.86025513159608,55.45635873422343,55.45635873422343
2022-01-08,41679.74,31872.793087736714,0.268262394803342,-2.0506290172506336,2.2523291420867873,53.890633517362474,55.06492743000818,55.06492743000818
2022-01-09,41864.62,31917.942818709995,0.271272756351399,-2.0506290172506336,2.2523291420867873,53.96059379670019,54.78884402168118,54.78884402168118
2022-01-10,41822.49,31963.098418186095,0.26885217016672946,-2.0506290172506336,2.2523291420867873,53.90433979433632,54.56771796484497,54.56771796484497
2022-01-11,42729.29,32008.7170218541,0.28887636092056823,-2.0506290172506336,2.2523291420867873,54.36969850832675,54.518213100715414,54.518213100715414
2022-01-12,43902.66,32054.91499745956,0.31452438483656664,-2.0506290172506336,2.2523291420867873,54.96575412788564,54.630098357507975,54.630098357507975
2022-01-13,42560.11,32100.507469663142,0.28204559058173295,-2.0506290172506336,2.2523291420867873,54.21095259247319,54.52531191624928,54.52531191624928
2022-01-14,43059.96,32146.365428202836,0.2922941691511749,-2.0506290172506336,2.2523291420867873,54.449127777774564,54.5062658816306,54.5062658816306
2022-01-15,43084.29,32192.26234439107,0.29143230569282075,-2.0506290172506336,2.2523291420867873,54.42909822074798,54.48697396640994,54.48697396640994
2022-01-16,43071.66,32238.180652903025,0.28971375554726997,-2.0506290172506336,2.2523291420867873,54.38915941395709,54.462520328296726,54.462520328296726
2022-01-17,42201.62,32283.70793200507,0.26789590434371924,-2.0506290172506336,2.2523291420867873,53.8821163427572,54.31741933191184,54.31741933191184
2022-01-18,42352.12,32329.334715938483,0.27004346526856793,-2.0506290172506336,2.2523291420867873,53.93202528551995,54.22107082031387,54.22107082031387
2022-01-19,41660.01,32374.64947798144,0.25216598284504954,-2.0506290172506336,2.2523291420867873,53.51655570014356,54.044942040271295,54.044942040271295
2022-01-20,40680.91,32419.500803303974,0.22699882225664325,-2.0506290172506336,2.2523291420867873,52.931675260769694,53.766625345395894,53.766625345395894
2022-01-21,36445.31,32462.11267990289,0.11573913515655398,-2.0506290172506336,2.2523291420867873,50.34601946352111,52.911473874927204,52.911473874927204
2022-01-22,35071.42,32503.952693402545,0.07602485050416696,-2.0506290172506336,2.2523291420867873,49.42306638840912,52.039372003297686,52.039372003297686
2022-01-23,36244.55,32546.49041935798,0.10761948354660866,-2.0506290172506336,2.2523291420867873,50.15732017086529,51.56885904518959,51.56885904518959
2022-01-24,36660.35,32589.283772661394,0.11771227385355232,-2.0506290172506336,2.2523291420867873,50.39187486401383,51.27461299989565,51.27461299989565
2022-01-25,36958.32,32632.264933693707,0.12448927038162338,-2.0506290172506336,2.2523291420867873,50.549371085848215,51.09330252138379,51.09330252138379
2022-01-26,36809.34,32675.1831815791,0.1191357516560494,-2.0506290172506336,2.2523291420867873,50.42495624081988,50.92621595124281,50.92621595124281
2022-01-27,37160.1,32718.318468635916,0.12730048613908096,-2.0506290172506336,2.2523291420867873,50.614703251613236,50.84833777633542,50.84833777633542
2022-01-28,37716.56,32761.782944150887,0.14083657337460664,-2.0506290172506336,2.2523291420867873,50.92927956712195,50.86857322403205,50.86857322403205
2022-01-29,38166.84,32805.51528689364,0.151370425555287,-2.0506290172506336,2.2523291420867873,51.17408446158327,50.944951033419855,50.944951033419855
2022-01-30,37881.76,32849.11363315148,0.14254496743318867,-2.0506290172506336,2.2523291420867873,50.96898234821629,50.950958862118966,50.950958862118966
2022-01-31,38466.9,32893.05250073356,0.15653666596408478,-2.0506290172506336,2.2523291420867873,51.294146991068644,51.03675589435639,51.03675589435639
2022-02-01,38694.59,32937.136434133274,0.16109900879430938,-2.0506290172506336,2.2523291420867873,51.40017504575294,51.12761068220553,51.12761068220553
2022-02-02,36896.36,32980.25026791382,0.11220399561638139,-2.0506290172506336,2.2523291420867873,50.26386343482486,50.91167387036036,50.91167387036036
2022-02-03,37311.61,33023.618124397864,0.12208153205785877,-2.0506290172506336,2.2523291420867873,50.49341566553952,50.80710931915515,50.80710931915515
2022-02-04,41574.25,33069.267561661494,0.2288766066008403,-2.0506290172506336,2.2523291420867873,52.97531464267078,51.34916065003406,51.34916065003406
2022-02-05,41382.59,33114.845547980214,0.22287857316662674,-2.0506290172506336,2.2523291420867873,52.83592138779569,51.72085083447446,51.72085083447446
2022-02-06,42380.87,33160.94782811873,0.2453241678444087,-2.0506290172506336,2.2523291420867873,53.35755310826862,52.13002640292301,52.13002640292301
2022-02-07,43839.99,33207.7859279576,0.27776205020732014,-2.0506290172506336,2.2523291420867873,54.111403858421085,52.62537076679752,52.62537076679752
2022-02-08,44042.99,33254.74845518245,0.28096863478700307,-2.0506290172506336,2.2523291420867873,54.18592432692074,53.01550915682833,53.01550915682833
2022-02-09,44372.72,33301.895362728304,0.2870105530275868,-2.0506290172506336,2.2523291420867873,54.32633745707105,53.34321623188901,53.34321623188901
2022-02-10,43495.44,33348.64998263861,0.26563881375205334,-2.0506290172506336,2.2523291420867873,53.829661949568,53.46482766130875,53.46482766130875
2022-02-11,42373.73,33394.88118754216,0.23812596437056577,-2.0506290172506336,2.2523291420867873,53.190268110197636,53.39618777353097,53.39618777353097
2022-02-12,42217.87,33441.060499828694,0.23305908989858182,-2.0506290172506336,2.2523291420867873,53.07251482781935,53.31526953710306,53.31526953710306
2022-02-13,42053.66,33487.18316233322,0.22778364841545695,-2.0506290172506336,2.2523291420867873,52.9499144843399,53.22393077391227,53.22393077391227
2022-02-14,42535.94,33533.5722748957,0.23780227116512265,-2.0506290172506336,2.2523291420867873,53.18274553634363,53.21363446452011,53.21363446452011
2022-02-15,44544.86,33580.963782994186,0.2825374189392562,-2.0506290172506336,2.2523291420867873,54.22238259804869,53.465821497902255,53.465821497902255
2022-02-16,43873.56,33628.061488805884,0.2659509789629908,-2.0506290172506336,2.2523291420867873,53.83691661483263,53.55859527713485,53.55859527713485
2022-02-17,40515.7,33673.497719529936,0.18497844316345358,-2.0506290172506336,2.2523291420867873,51.955128951528806,53.15772869573334,53.15772869573334
2022-02-18,39974.44,33718.67212811594,0.1701884968641476,-2.0506290172506336,2.2523291420867873,51.61141316923118,52.7711498141078,52.7711498141078
2022-02-19,40079.17,33763.925266526734,0.17146381526730536,-2.0506290172506336,2.2523291420867873,51.64105134733873,52.48862519741554,52.48862519741554
2022-02-20,38386.89,33808.283741164465,0.1270101414902527,-2.0506290172506336,2.2523291420867873,50.60795569242077,52.01845782116685,52.01845782116685
2022-02-21,37008.16,33851.88458579471,0.08914375644349093,-2.0506290172506336,2.2523291420867873,49.72794748307782,51.44583023664459,51.44583023664459
2022-02-22,38230.33,33896.198001078235,0.12032632489927053,-2.0506290172506336,2.2523291420867873,50.45262495613466,51.19752891651711,51.19752891651711
2022-02-23,37250.01,33939.97818265211,0.0930585962971282,-2.0506290172506336,2.2523291420867873,49.81892768108746,50.85287860765969,50.85287860765969
2022-02-24,38327.21,33984.38747472435,0.12025886056965795,-2.0506290172506336,2.2523291420867873,50.45105709683614,50.7524232299538,50.7524232299538
2022-02-25,39219.17,34029.309962553496,0.1419434468921903,-2.0506290172506336,2.2523291420867873,50.95500311535544,50.803068201304214,50.803068201304214
2022-02-26,39116.72,34074.19855763704,0.13800953971664676,-2.0506290172506336,2.2523291420867873,50.86357979609757,50.81819610000255,50.81819610000255
2022-02-27,37699.07,34118.31800129585,0.09980100086857391,-2.0506290172506336,2.2523291420867873,49.9756199918601,50.60755207296694,50.60755207296694
2022-02-28,43160.0,34165.36010646446,0.23370187199718373,-2.0506290172506336,2.2523291420867873,53.08745297210986,51.22752729775267,51.22752729775267
