date,price,trend_value,residual,z_score,raw_score,smoothed_score,risk_score
2016-08-26,11.78,7.807473225143057,0.41132179743071395,-0.37972343102300465,36.13325556327947,37.99487637035042,37.99487637035042
2016-08-27,11.78,7.841715971437091,0.40694549390273105,-0.39657189333645226,35.552101815069285,37.38418273153013,37.38418273153013
2016-08-28,11.78,7.875860184058515,0.40260076975515924,-0.413157194146474,34.98415439730006,36.78417564797262,36.78417564797262
2016-08-29,11.78,7.909905587515203,0.3982873323538967,-0.4296263714325085,34.42436620946976,36.194223288346905,36.194223288346905
2016-08-30,11.78,7.943851917398809,0.3940048924651358,-0.4458372361143622,33.877548181442805,35.61505451162088,35.61505451162088
2016-08-31,11.78,7.977698920210614,0.38975316420760064,-0.46193539718845844,33.33875766013362,35.04598029874907,35.04598029874907
2016-09-01,12.8,8.014920633430615,0.46814028716752887,0.17195771973891327,56.41289898866585,40.38770997122827,40.38770997122827
2016-09-02,12.8,8.052050605528931,0.4635183783281174,0.113965678352664,54.26333556304523,43.856616369182504,43.856616369182504
2016-09-03,12.8,8.089088391316748,0.45892912960161025,0.05624580457395112,52.1079674299994,45.919454134386726,45.919454134386726
2016-09-04,12.8,8.126033558143293,0.4543722436438169,0.00913587746283658,50.34259004349376,47.025238111663484,47.025238111663484
2016-09-05,12.8,8.162885685723035,0.44984742650846554,-0.019435054535588137,49.271237067180955,47.586737850542846,47.586737850542846
2016-09-06,12.8,8.19964436596411,0.4453543876002466,-0.04715951816961865,48.23225516344416,47.748117178768176,47.748117178768176
2016-09-07,12.8,8.236309202798871,0.44089283962855186,-0.07462155733261404,47.20460957587385,47.612240278044595,47.612240278044595
2016-09-08,12.8,8.272879812015207,0.43646249856205976,-0.1017824590966887,46.190554522213894,47.25681883908692,47.25681883908692
2016-09-09,12.8,8.309355821090348,0.4320630835839476,-0.1286856434575971,45.18921658024766,46.739918274377104,46.739918274377104
2016-09-10,12.8,8.34573686902546,0.4276943170479188,-0.15612964293028425,44.171752584541444,46.097876851918194,46.097876851918194
2016-09-11,12.8,8.382022606182376,0.42335592443487347,-0.18332052637810942,43.1684729469143,45.365525875667224,45.365525875667224
2016-09-12,12.8,8.418212694121404,0.4190476343103331,-0.20885242467146847,42.231466316419045,44.58201098585518,44.58201098585518
2016-09-13,12.8,8.454306805441476,0.41476917828245785,-0.23413570549261817,41.30905918031981,43.76377303447134,43.76377303447134
2016-09-14,12.8,8.49030462362089,0.4105202909608514,-0.2613238360350878,40.32393623772642,42.90381383528511,42.90381383528511
2016-09-15,12.8,8.5262058428604,0.4063007099159317,-0.288267747605168,39.35529926094348,42.01668519169971,42.01668519169971
2016-09-16,12.8,8.562010167927895,0.4021101756389469,-0.3122170929430642,38.50126187888424,41.13782936349584,41.13782936349584
2016-09-17,12.8,8.597717314003756,0.3979484315027304,-0.3359265204412247,37.662699227560566,40.26904682951202,40.26904682951202
2016-09-18,12.8,8.633327006528955,0.39381522372294153,-0.36288193779939193,36.71825382418768,39.38134857818093,39.38134857818093
2016-09-19,12.8,8.668838981054138,0.3897103013199854,-0.389601643683953,35.79202167715965,38.48401685292561,38.48401685292561
2016-09-20,12.8,8.704252983090054,0.38563341608155843,-0.4120131607642593,35.023196425351635,37.61881174603212,37.61881174603212
2016-09-21,12.8,8.739568767960328,0.3815843225256934,-0.4341930804898827,34.26989831140266,36.78158338737476,36.78158338737476
2016-09-22,12.8,8.774786100654685,0.3775627778645094,-0.4609375834975338,33.37202911305661,35.929194818795224,35.929194818795224
2016-09-23,12.8,8.80990475568482,0.3735685419684054,-0.487454513462852,32.4935449674741,35.07028235596494,35.07028235596494
2016-09-24,12.8,8.844924516941365,0.3696013773308633,-0.5083712862766598,31.80913867654534,34.25499643611004,34.25499643611004
2016-09-25,12.8,8.879845177551987,0.3656610490338452,-0.5290644229194341,31.139692446513987,33.47617043871102,33.47617043871102
2016-09-26,12.8,8.914666539741829,0.36174732471363846,-0.5556185308534134,30.292076888851124,32.680147051246045,32.680147051246045
2016-09-27,12.8,8.94938841469486,0.3578599745272979,-0.5819528543385077,29.46451452337825,31.876238919279096,31.876238919279096
2016-09-28,12.8,8.98401062241705,0.3539987711195751,-0.6014164061580803,28.861408528141638,31.12253132149473,31.12253132149473
2016-09-29,12.8,9.018532991601091,0.3501634895903529,-0.6206639423234813,28.272270893977122,30.409966214615327,30.409966214615327
2016-09-30,12.8,9.052955359492259,0.34635390746262296,-0.6470469674116593,27.476681380512524,29.67664500608963,29.67664500608963
2016-10-01,12.26,9.08538030034505,0.29967536928893024,-1.0306712928828603,17.566373862050774,26.649077220079917,26.649077220079917
2016-10-02,12.26,9.11770250497828,0.29612407647235894,-1.04699209145205,17.214681505374095,24.29047829140346,24.29047829140346
2016-10-03,12.26,9.149921930465355,0.2925965834466133,-1.0631145584310258,16.87276169892168,22.436049143283014,22.436049143283014
2016-10-04,12.26,9.182038540837608,0.28909268725599446,-1.087635792736169,16.36313176956795,20.91781979985425,20.91781979985425
2016-10-05,12.26,9.214052306964486,0.28561218710959757,-1.1119620600061295,15.869861105759536,19.65583012633057,19.65583012633057
2016-10-06,12.26,9.245963206435595,0.28215488435341074,-1.1269493417735699,15.572008647260029,18.634874756562937,18.634874756562937
2016-10-07,12.26,9.277771223444303,0.2787205824428294,-1.1417449498276315,15.282453186791487,17.796769364120074,17.796769364120074
2016-10-08,12.26,9.30947634867272,0.27530908691559963,-1.1661707536391823,14.814104628636395,17.051103180249154,17.051103180249154
2016-10-09,12.26,9.341078579178037,0.27192020536518324,-1.1904081076439552,14.361152827253441,16.378615592000223,16.378615592000223
2016-10-10,12.26,9.372577918280818,0.26855374741447147,-1.2040978370176203,14.110447034955872,15.811573452739136,15.811573452739136
2016-10-11,12.26,9.403974375454188,0.2652095246899533,-1.2176022728396723,13.866728719498806,15.325362269429053,15.325362269429053
2016-10-12,12.26,9.435267966214875,0.2618873507962265,-1.2419474449963017,13.436292928755595,14.853094934260689,14.853094934260689
2016-10-13,12.26,9.466458712015138,0.2585870412909479,-1.2661104139158628,13.020293875786843,14.394894669642227,14.394894669642227
2016-10-14,12.26,9.497546640137267,0.2553084136600354,-1.278537323097965,12.810642734810088,13.998831685934192,13.998831685934192
2016-10-15,12.26,9.528531783587889,0.2520512872934062,-1.2907850550777071,12.606839033831845,13.650833522908606,13.650833522908606
2016-10-16,12.26,9.559414180995091,0.24881548346092597,-1.315063487070045,12.211040656388763,13.290885306278645,13.290885306278645
2016-10-17,12.26,9.590193876505948,0.24560082528881644,-1.3391657052259607,11.828743528221258,12.925349861764298,12.925349861764298
2016-10-18,12.26,9.620870919686114,0.24240713773633793,-1.3503633508267296,11.654683952792649,12.607683384521387,12.607683384521387
2016-10-19,12.26,9.651445365420317,0.23923424757286238,-1.361387684852474,11.48549474282082,12.327136224096245,12.327136224096245
2016-10-20,12.26,9.681917273814273,0.23608198335527542,-1.3856124111814805,11.121218092879417,12.025656691292038,12.025656691292038
2016-10-21,12.26,9.712286710098116,0.23295017540568974,-1.4096666686104764,10.769546526711933,11.711629150147012,11.711629150147012
2016-10-22,12.26,9.742553744531088,0.22983865578949114,-1.4196674850577555,10.626235112069642,11.44028064062767,11.44028064062767
2016-10-23,12.26,9.772718452307144,0.22674725829374331,-1.4295006171679447,10.486967572101653,11.201952373496166,11.201952373496166
2016-10-24,12.26,9.80278091346245,0.22367581840584627,-1.4536838626872273,10.15129611846811,10.939288309739151,10.939288309739151
2016-10-25,12.26,9.832741212783631,0.220624173292558,-1.4777021517514366,9.827382109804699,10.661311759755538,10.661311759755538
2016-10-26,12.26,9.8625994397179,0.21759216177925644,-1.486537501705639,9.710562668524616,10.423624486947809,10.423624486947809
2016-10-27,12.26,9.892355688283493,0.21457962432959965,-1.4952105677961347,9.59709588174831,10.216992335647934,10.216992335647934
2016-10-28,12.26,9.922010056982364,0.21158640302537135,-1.5193637922388945,9.28733206064126,9.984577266896265,9.984577266896265
2016-10-29,12.26,9.951562648713455,0.20861234154668784,-1.5433573514687808,8.98853159709772,9.735565849446628,9.735565849446628
2016-10-30,12.26,9.981013570687258,0.2056572851524754,-1.5510575734399643,8.894489524902726,9.525296768310652,9.525296768310652
2016-10-31,12.26,10.01036293434162,0.20272108066122652,-1.5586006962197845,8.80322787943738,9.344779546092333,9.344779546092333
