date,price,trend_value,deviation,min_dev,max_dev,raw_score,smoothed_score,risk_score
2014-11-25,0.003,0.008948193562331905,-1.0928393866359443,-1.211507925047841,-0.7817452612533389,27.612575127894328,24.35363978333433,24.35363978333433
2014-11-26,0.003,0.00890695225837167,-1.0882198357550958,-1.211507925047841,-0.7817452612533389,28.687482575661207,25.43710048141605,25.43710048141605
2014-11-27,0.003,0.008866117230533642,-1.0836246700502645,-1.211507925047841,-0.7817452612533389,29.756715920470462,26.51700434117965,26.51700434117965
2014-11-28,0.003,0.00882568308845192,-1.0790537149463182,-1.211507925047841,-0.7817452612533389,30.820315783610734,27.592832201787424,27.592832201787424
2014-11-29,0.003,0.008785644530711156,-1.0745067974636786,-1.211507925047841,-0.7817452612533389,31.87832241510671,28.664204755117247,28.664204755117247
2014-11-30,0.003,0.008745996343104918,-1.0699837462005242,-1.211507925047841,-0.7817452612533389,32.930775697860284,29.730847490803004,29.730847490803004
2014-12-01,0.003,0.008706733396933487,-1.0654843913152465,-1.211507925047841,-0.7817452612533389,33.97771515173268,30.792564406035424,30.792564406035424
2014-12-02,0.003,0.008667850647339811,-1.0610085645091294,-1.211507925047841,-0.7817452612533389,35.019179937574876,31.849218288920287,31.849218288920287
2014-12-03,0.003,0.00862934313168265,-1.0565560990092404,-1.211507925047841,-0.7817452612533389,36.05520886120841,32.90071593199232,32.90071593199232
2014-12-04,0.003,0.008591205967946217,-1.0521268295515664,-1.211507925047841,-0.7817452612533389,37.08584037734959,33.94699704333164,33.94699704333164
2014-12-05,0.003,0.008553434353185198,-1.0477205923643638,-1.211507925047841,-0.7817452612533389,38.11111259348365,34.98802593086965,34.98802593086965
2014-12-06,0.003,0.008516023562004264,-1.043337225151718,-1.211507925047841,-0.7817452612533389,39.131063273690216,36.02378526657479,36.02378526657479
2014-12-07,0.003,0.008478968945071318,-1.0389765670773263,-1.211507925047841,-0.7817452612533389,40.14572984241678,37.054271410535286,37.054271410535286
2014-12-08,0.003,0.008442265927663528,-1.0346384587484856,-1.211507925047841,-0.7817452612533389,41.15514938820475,38.07949090495265,38.07949090495265
2014-12-09,0.003,0.008405910008245409,-1.0303227422002896,-1.211507925047841,-0.7817452612533389,42.159358667366234,39.099457845556046,39.099457845556046
2014-12-10,0.003,0.008369896757078091,-1.0260292608800299,-1.211507925047841,-0.7817452612533389,43.15839410761396,40.11419191107052,40.11419191107052
2014-12-11,0.003,0.00833422181485908,-1.0217578596317995,-1.211507925047841,-0.7817452612533389,44.15229181164363,41.1237168862138,41.1237168862138
2014-12-12,0.003,0.00829888089139164,-1.0175083846812898,-1.211507925047841,-0.7817452612533389,45.141087560671686,42.12805955482827,42.12805955482827
